dataset,test_id,SP_MAFFT
3x30bp,test0,-200
3x30bp,test1,-228
3x30bp,test2,-112
3x30bp,test3,-264
3x30bp,test4,-216
3x30bp,test5,-104
3x30bp,test6,-144
3x30bp,test7,-308
3x30bp,test8,-208
3x30bp,test9,-224
3x30bp,test10,-264
3x30bp,test11,-144
3x30bp,test12,-368
3x30bp,test13,-308
3x30bp,test14,-324
3x30bp,test15,-436
3x30bp,test16,-164
3x30bp,test17,-116
3x30bp,test18,-208
3x30bp,test19,-248
3x30bp,test20,-188
3x30bp,test21,-328
3x30bp,test22,-224
3x30bp,test23,-160
3x30bp,test24,-396
3x30bp,test25,-292
3x30bp,test26,-232
3x30bp,test27,-120
3x30bp,test28,-128
3x30bp,test29,-200
3x30bp,test30,-328
3x30bp,test31,-184
3x30bp,test32,-176
3x30bp,test33,-164
3x30bp,test34,-228
3x30bp,test35,-128
3x30bp,test36,-112
3x30bp,test37,-132
3x30bp,test38,-228
3x30bp,test39,-356
3x30bp,test40,-228
3x30bp,test41,-216
3x30bp,test42,-388
3x30bp,test43,-256
3x30bp,test44,-228
3x30bp,test45,-332
3x30bp,test46,-380
3x30bp,test47,-168
3x30bp,test48,-148
3x30bp,test49,-156
